label,text
Veteriner İşleri Müdürlüğü,"Mahallemizde başıboş köpekler çocukları korkutuyor. Sorunun çözülmesi, yaşam kalitemizi doğrudan etkileyecek."
Sosyal Yardım İşleri Müdürlüğü,"Belediyeye iletmek istiyorum: Gıda yardımı başvurum reddedildi, nedenini öğrenemiyorum. Yetkili ekiplerin acilen müdahale etmesi gerekiyor."
İmar ve Şehircilik Müdürlüğü,"Belediyeye iletmek istiyorum: Yapı izni olmadan balkon kapatılmış, görüntü kirliliği oluştu. Mahalle sakinleri bu durumdan ciddi şekilde şikayetçi."
Bilgi İşlem Müdürlüğü,Belediyeye iletmek istiyorum: Randevu sistemine giriş yapılamıyor. Durumu defalarca bildirmemize rağmen henüz bir çözüm üretilmedi.
Veteriner İşleri Müdürlüğü,"Belediyeye iletmek istiyorum: Hayvan saldırısı sonrası müdahale ekibi gelmedi. Uzun süredir bu sorunla karşı karşıyayız, lütfen ilgilenilsin."
Su ve Kanalizasyon Müdürlüğü,"Merhaba, Su sayaçları bozuk, fatura çok yüksek geldi. Yetkili ekiplerin acilen müdahale etmesi gerekiyor."
Mali Hizmetler Müdürlüğü,Geçmiş borç bilgilerine ulaşamıyorum. Gerekli kontrollerin yapılmasını rica ediyoruz.
Kültür ve Sosyal İşler Müdürlüğü,"Sayın yetkili, Etkinliklerin duyurusu zamanında yapılmıyor. Gerekli kontrollerin yapılmasını rica ediyoruz."
İnsan Kaynakları ve Eğitim Müdürlüğü,Yeni alımlar hakkında bilgiye ulaşamıyoruz. Komşularla birlikte imza toplayarak şikayet oluşturduk.
Veteriner İşleri Müdürlüğü,"Hayvan barınağındaki şartlar çok kötü, denetim yapılmalı. Uzun süredir bu sorunla karşı karşıyayız, lütfen ilgilenilsin."
Ulaşım Hizmetleri Müdürlüğü,"Merhaba, Duraklarda güneşlik veya oturak yok. Durumu defalarca bildirmemize rağmen henüz bir çözüm üretilmedi."
Su ve Kanalizasyon Müdürlüğü,"Mahallede su basıncı çok düşük, duş alamıyoruz. Komşularla birlikte imza toplayarak şikayet oluşturduk."
Fen İşleri Müdürlüğü,"Merhaba, Aydınlatma direği haftalardır yanmıyor, sokak geceleri karanlık oluyor. Sorunun çözülmesi, yaşam kalitemizi doğrudan etkileyecek."
Zabıta Müdürlüğü,"Sayın yetkili, Sokakta sürekli dilenen kişiler halkı rahatsız ediyor. Gerekli kontrollerin yapılmasını rica ediyoruz."
Kültür ve Sosyal İşler Müdürlüğü,"Sayın yetkili, Kadınlara yönelik atölye çalışmaları artırılmalı. Gerekli kontrollerin yapılmasını rica ediyoruz."
Kültür ve Sosyal İşler Müdürlüğü,Belediyeye iletmek istiyorum: Gençlik merkezinde spor aletleri eksik. Durumu defalarca bildirmemize rağmen henüz bir çözüm üretilmedi.
Sosyal Yardım İşleri Müdürlüğü,"Sayın yetkili, Kış ayında yakacak yardımı yapılmadı, mağdur durumdayız. Yetkili ekiplerin acilen müdahale etmesi gerekiyor."
Fen İşleri Müdürlüğü,"Aydınlatma direği haftalardır yanmıyor, sokak geceleri karanlık oluyor. Durumu defalarca bildirmemize rağmen henüz bir çözüm üretilmedi."
Park ve Bahçeler Müdürlüğü,"Mahalle parkındaki kaydırak kırılmış, çocuklar yaralanabilir. Sürekli ertelenen bu sorun artık kronik hale geldi."
Park ve Bahçeler Müdürlüğü,"Park içi aydınlatmalar çalışmıyor, gece güvenli değil. Sorunun çözülmesi, yaşam kalitemizi doğrudan etkileyecek."
Zabıta Müdürlüğü,Belediyeye iletmek istiyorum: Kamu düzenini bozan kalabalıklar için denetim istiyoruz. Komşularla birlikte imza toplayarak şikayet oluşturduk.
Su ve Kanalizasyon Müdürlüğü,"Su sayaçları bozuk, fatura çok yüksek geldi. Mahalle sakinleri bu durumdan ciddi şekilde şikayetçi."
Fen İşleri Müdürlüğü,"Merhaba, Kış aylarında mahallemiz sürekli su birikintisiyle doluyor, altyapı çalışması yapılmalı. Uzun süredir bu sorunla karşı karşıyayız, lütfen ilgilenilsin."
İnsan Kaynakları ve Eğitim Müdürlüğü,"Sayın yetkili, Belediyede eğitim seminerleri artırılmalı. Mahalle sakinleri bu durumdan ciddi şekilde şikayetçi."
Ruhsat ve Denetim Müdürlüğü,"Sayın yetkili, Gıda satışı yapan yerler denetlenmiyor. Sorunun çözülmesi, yaşam kalitemizi doğrudan etkileyecek."
Su ve Kanalizasyon Müdürlüğü,"Belediyeye iletmek istiyorum: Su sayaçları bozuk, fatura çok yüksek geldi. Yetkili ekiplerin acilen müdahale etmesi gerekiyor."
Kültür ve Sosyal İşler Müdürlüğü,"Sayın yetkili, Etkinliklerin duyurusu zamanında yapılmıyor. Mahalle sakinleri bu durumdan ciddi şekilde şikayetçi."
Zabıta Müdürlüğü,"Sayın yetkili, Sokakta sürekli dilenen kişiler halkı rahatsız ediyor. Sürekli ertelenen bu sorun artık kronik hale geldi."
Kültür ve Sosyal İşler Müdürlüğü,"Merhaba, Etkinliklerin duyurusu zamanında yapılmıyor. Uzun süredir bu sorunla karşı karşıyayız, lütfen ilgilenilsin."
İnsan Kaynakları ve Eğitim Müdürlüğü,"Sayın yetkili, Personel hizmet içi eğitim almalı, yetersizlik görülüyor. Sürekli ertelenen bu sorun artık kronik hale geldi."
Kültür ve Sosyal İşler Müdürlüğü,"Merhaba, Kadınlara yönelik atölye çalışmaları artırılmalı. Yetkili ekiplerin acilen müdahale etmesi gerekiyor."
Su ve Kanalizasyon Müdürlüğü,"Belediyeye iletmek istiyorum: Su sayaçları bozuk, fatura çok yüksek geldi. Bu konuda ivedilikle işlem yapılması bekleniyor."
Su ve Kanalizasyon Müdürlüğü,"Merhaba, Yağmur sonrası rögarlar taştı, yollarda su birikti. Mahalle sakinleri bu durumdan ciddi şekilde şikayetçi."
Fen İşleri Müdürlüğü,"Belediyeye iletmek istiyorum: Aydınlatma direği haftalardır yanmıyor, sokak geceleri karanlık oluyor. Bu konuda ivedilikle işlem yapılması bekleniyor."
Ulaşım Hizmetleri Müdürlüğü,"Belediyeye iletmek istiyorum: Toplu taşıma saatleri yetersiz, işe geç kalıyoruz. Sorunun çözülmesi, yaşam kalitemizi doğrudan etkileyecek."
Kültür ve Sosyal İşler Müdürlüğü,"Sayın yetkili, Mahallemizde hiçbir kültürel etkinlik düzenlenmiyor. Komşularla birlikte imza toplayarak şikayet oluşturduk."
Bilgi İşlem Müdürlüğü,Belediyeye iletmek istiyorum: Randevu sistemine giriş yapılamıyor. Durumu defalarca bildirmemize rağmen henüz bir çözüm üretilmedi.
İmar ve Şehircilik Müdürlüğü,"Merhaba, Riskli yapı olarak bildirilen bina hâlâ boşaltılmadı. Bu konuda ivedilikle işlem yapılması bekleniyor."
Kültür ve Sosyal İşler Müdürlüğü,Gençlik merkezinde spor aletleri eksik. Komşularla birlikte imza toplayarak şikayet oluşturduk.
Sosyal Yardım İşleri Müdürlüğü,Evsiz bir vatandaş haftalardır sokakta kalıyor. Mahalle sakinleri bu durumdan ciddi şekilde şikayetçi.
Mali Hizmetler Müdürlüğü,"Merhaba, Emlak vergisi çok yüksek geldi, itiraz etmek istiyorum. Uzun süredir bu sorunla karşı karşıyayız, lütfen ilgilenilsin."
İmar ve Şehircilik Müdürlüğü,"Sayın yetkili, İnşaatlar gece geç saatlere kadar çalışıyor, gürültü rahatsız edici. Sürekli ertelenen bu sorun artık kronik hale geldi."
Ruhsat ve Denetim Müdürlüğü,Belediyeye iletmek istiyorum: Gıda satışı yapan yerler denetlenmiyor. Mahalle sakinleri bu durumdan ciddi şekilde şikayetçi.
Hukuk İşleri Müdürlüğü,Yıkım kararı hakkında yasal bilgilendirme yapılmadı. Bu sıkıntı nedeniyle günlük hayatımız oldukça zorlaştı.
İmar ve Şehircilik Müdürlüğü,"Sayın yetkili, Yan binada kaçak kat yapımı başladı, denetim bekliyoruz. Sorunun çözülmesi, yaşam kalitemizi doğrudan etkileyecek."
Çevre Koruma ve Kontrol Müdürlüğü,"Merhaba, Fabrikadan yayılan duman nedeniyle cam açamıyoruz. Komşularla birlikte imza toplayarak şikayet oluşturduk."
Çevre Koruma ve Kontrol Müdürlüğü,Belediyeye iletmek istiyorum: Fabrikadan yayılan duman nedeniyle cam açamıyoruz. Bu sıkıntı nedeniyle günlük hayatımız oldukça zorlaştı.
Çevre Koruma ve Kontrol Müdürlüğü,"Merhaba, Fabrikadan yayılan duman nedeniyle cam açamıyoruz. Sürekli ertelenen bu sorun artık kronik hale geldi."
Ulaşım Hizmetleri Müdürlüğü,"Merhaba, Duraklarda güneşlik veya oturak yok. Sürekli ertelenen bu sorun artık kronik hale geldi."
Ruhsat ve Denetim Müdürlüğü,"Merhaba, Gıda satışı yapan yerler denetlenmiyor. Uzun süredir bu sorunla karşı karşıyayız, lütfen ilgilenilsin."
Hukuk İşleri Müdürlüğü,"Merhaba, Yıkım kararı hakkında yasal bilgilendirme yapılmadı. Gerekli kontrollerin yapılmasını rica ediyoruz."
Park ve Bahçeler Müdürlüğü,"Merhaba, Mahalle parkındaki kaydırak kırılmış, çocuklar yaralanabilir. Sorunun çözülmesi, yaşam kalitemizi doğrudan etkileyecek."
Park ve Bahçeler Müdürlüğü,"Sayın yetkili, Ağaçların dalları elektrik tellerine temas ediyor. Durumu defalarca bildirmemize rağmen henüz bir çözüm üretilmedi."
Ulaşım Hizmetleri Müdürlüğü,"Merhaba, Bisiklet yolu çizgileri silinmiş durumda. Yetkili ekiplerin acilen müdahale etmesi gerekiyor."
Hukuk İşleri Müdürlüğü,"Merhaba, Dava süreciyle ilgili bilgi talep ettim, dönüş olmadı. Durumu defalarca bildirmemize rağmen henüz bir çözüm üretilmedi."
Park ve Bahçeler Müdürlüğü,"Belediyeye iletmek istiyorum: Mahalle parkındaki kaydırak kırılmış, çocuklar yaralanabilir. Mahalle sakinleri bu durumdan ciddi şekilde şikayetçi."
Mali Hizmetler Müdürlüğü,"Merhaba, Fatura kesiminde isim yanlış yazılmış. Durumu defalarca bildirmemize rağmen henüz bir çözüm üretilmedi."
Su ve Kanalizasyon Müdürlüğü,"Belediyeye iletmek istiyorum: Yağmur sonrası rögarlar taştı, yollarda su birikti. Mahalle sakinleri bu durumdan ciddi şekilde şikayetçi."
Çevre Koruma ve Kontrol Müdürlüğü,"Merhaba, Hava kirliliği nedeniyle çocuklar dışarı çıkamıyor. Gerekli kontrollerin yapılmasını rica ediyoruz."
Zabıta Müdürlüğü,"Sayın yetkili, Gece geç saatlerde açık olan işletmelerden yüksek ses geliyor. Komşularla birlikte imza toplayarak şikayet oluşturduk."
Fen İşleri Müdürlüğü,"Belediyeye iletmek istiyorum: Kış aylarında mahallemiz sürekli su birikintisiyle doluyor, altyapı çalışması yapılmalı. Komşularla birlikte imza toplayarak şikayet oluşturduk."
Bilgi İşlem Müdürlüğü,"Sayın yetkili, Randevu sistemine giriş yapılamıyor. Bu konuda ivedilikle işlem yapılması bekleniyor."
Kültür ve Sosyal İşler Müdürlüğü,Kurslara kayıt olmak istiyorum ama kontenjan dolu. Bu konuda ivedilikle işlem yapılması bekleniyor.
Fen İşleri Müdürlüğü,"Merhaba, Rögar kapakları açık bırakılmış, çocuklar için ciddi tehlike oluşturuyor. Komşularla birlikte imza toplayarak şikayet oluşturduk."
Bilgi İşlem Müdürlüğü,"Merhaba, Belediyenin web sitesi açılmıyor, işlem yapamıyorum. Komşularla birlikte imza toplayarak şikayet oluşturduk."
Ruhsat ve Denetim Müdürlüğü,"Sayın yetkili, Gıda satışı yapan yerler denetlenmiyor. Durumu defalarca bildirmemize rağmen henüz bir çözüm üretilmedi."
İmar ve Şehircilik Müdürlüğü,"Belediyeye iletmek istiyorum: Yapı izni olmadan balkon kapatılmış, görüntü kirliliği oluştu. Komşularla birlikte imza toplayarak şikayet oluşturduk."
Hukuk İşleri Müdürlüğü,"Dava süreciyle ilgili bilgi talep ettim, dönüş olmadı. Mahalle sakinleri bu durumdan ciddi şekilde şikayetçi."
Fen İşleri Müdürlüğü,"Sayın yetkili, Kış aylarında mahallemiz sürekli su birikintisiyle doluyor, altyapı çalışması yapılmalı. Bu konuda ivedilikle işlem yapılması bekleniyor."
Su ve Kanalizasyon Müdürlüğü,"Mahallede su basıncı çok düşük, duş alamıyoruz. Yetkili ekiplerin acilen müdahale etmesi gerekiyor."
Ruhsat ve Denetim Müdürlüğü,Belediyeye iletmek istiyorum: Hijyen kurallarına uymayan işletmeler hakkında işlem yapılmıyor. Bu konuda ivedilikle işlem yapılması bekleniyor.
Veteriner İşleri Müdürlüğü,"Hayvan barınağındaki şartlar çok kötü, denetim yapılmalı. Yetkili ekiplerin acilen müdahale etmesi gerekiyor."
Temizlik İşleri Müdürlüğü,"Sayın yetkili, Geri dönüşüm kutuları düzenli toplanmadığı için çöpler yerlere atılıyor. Gerekli kontrollerin yapılmasını rica ediyoruz."
Bilgi İşlem Müdürlüğü,Belediyeye iletmek istiyorum: Mobil uygulama üzerinden şikayet gönderilemiyor. Bu sıkıntı nedeniyle günlük hayatımız oldukça zorlaştı.
Ulaşım Hizmetleri Müdürlüğü,Bisiklet yolu çizgileri silinmiş durumda. Mahalle sakinleri bu durumdan ciddi şekilde şikayetçi.
Çevre Koruma ve Kontrol Müdürlüğü,"Çöp konteynerleri dezenfekte edilmiyor, sinek artışı var. Bu sıkıntı nedeniyle günlük hayatımız oldukça zorlaştı."
Hukuk İşleri Müdürlüğü,"Sayın yetkili, Hukuki destek almak istiyorum ama ulaşamıyorum. Uzun süredir bu sorunla karşı karşıyayız, lütfen ilgilenilsin."
İmar ve Şehircilik Müdürlüğü,"Belediyeye iletmek istiyorum: Yapı izni olmadan balkon kapatılmış, görüntü kirliliği oluştu. Bu sıkıntı nedeniyle günlük hayatımız oldukça zorlaştı."
Park ve Bahçeler Müdürlüğü,"Parkta oturacak bank yok, yaşlılar dinlenemiyor. Durumu defalarca bildirmemize rağmen henüz bir çözüm üretilmedi."
Mali Hizmetler Müdürlüğü,"Merhaba, Emlak vergisi çok yüksek geldi, itiraz etmek istiyorum. Sorunun çözülmesi, yaşam kalitemizi doğrudan etkileyecek."
Bilgi İşlem Müdürlüğü,"Merhaba, Randevu sistemine giriş yapılamıyor. Durumu defalarca bildirmemize rağmen henüz bir çözüm üretilmedi."
Kültür ve Sosyal İşler Müdürlüğü,"Sayın yetkili, Etkinliklerin duyurusu zamanında yapılmıyor. Komşularla birlikte imza toplayarak şikayet oluşturduk."
Mali Hizmetler Müdürlüğü,Belediyeye iletmek istiyorum: Vergi dairesiyle bilgilerim uyuşmuyor. Komşularla birlikte imza toplayarak şikayet oluşturduk.
İnsan Kaynakları ve Eğitim Müdürlüğü,"Sayın yetkili, Belediyede eğitim seminerleri artırılmalı. Sürekli ertelenen bu sorun artık kronik hale geldi."
Bilgi İşlem Müdürlüğü,Belediyeye iletmek istiyorum: Randevu sistemine giriş yapılamıyor. Yetkili ekiplerin acilen müdahale etmesi gerekiyor.
Ruhsat ve Denetim Müdürlüğü,"Merhaba, Yeni açtığım iş yeri için ruhsat başvurum beklemede. Sürekli ertelenen bu sorun artık kronik hale geldi."
İmar ve Şehircilik Müdürlüğü,"Belediyeye iletmek istiyorum: Yeni ruhsat alım süreci hakkında bilgi alamıyoruz. Sorunun çözülmesi, yaşam kalitemizi doğrudan etkileyecek."
Zabıta Müdürlüğü,Belediyeye iletmek istiyorum: Ruhsatsız çalışan işletmeler mahalle sakinlerini huzursuz ediyor. Durumu defalarca bildirmemize rağmen henüz bir çözüm üretilmedi.
Fen İşleri Müdürlüğü,"Merhaba, Aydınlatma direği haftalardır yanmıyor, sokak geceleri karanlık oluyor. Uzun süredir bu sorunla karşı karşıyayız, lütfen ilgilenilsin."
Kültür ve Sosyal İşler Müdürlüğü,"Merhaba, Mahallemizde hiçbir kültürel etkinlik düzenlenmiyor. Gerekli kontrollerin yapılmasını rica ediyoruz."
Park ve Bahçeler Müdürlüğü,"Belediyeye iletmek istiyorum: Mahalle parkındaki kaydırak kırılmış, çocuklar yaralanabilir. Mahalle sakinleri bu durumdan ciddi şekilde şikayetçi."
Bilgi İşlem Müdürlüğü,"Sayın yetkili, Mobil uygulama üzerinden şikayet gönderilemiyor. Sorunun çözülmesi, yaşam kalitemizi doğrudan etkileyecek."
Temizlik İşleri Müdürlüğü,"Sayın yetkili, Çöp arabası saatinde gelmediği için hayvanlar çöpleri dağıttı. Sorunun çözülmesi, yaşam kalitemizi doğrudan etkileyecek."
Park ve Bahçeler Müdürlüğü,"Belediyeye iletmek istiyorum: Ağaçların dalları elektrik tellerine temas ediyor. Uzun süredir bu sorunla karşı karşıyayız, lütfen ilgilenilsin."
Kültür ve Sosyal İşler Müdürlüğü,"Merhaba, Mahallemizde hiçbir kültürel etkinlik düzenlenmiyor. Komşularla birlikte imza toplayarak şikayet oluşturduk."
Bilgi İşlem Müdürlüğü,"Belediyeye iletmek istiyorum: Kiosk ekranı çalışmıyor, hizmet alamadım. Bu konuda ivedilikle işlem yapılması bekleniyor."
Mali Hizmetler Müdürlüğü,"Belediyeye iletmek istiyorum: Emlak vergisi çok yüksek geldi, itiraz etmek istiyorum. Bu konuda ivedilikle işlem yapılması bekleniyor."
Hukuk İşleri Müdürlüğü,Belediyeye iletmek istiyorum: Hukuki destek almak istiyorum ama ulaşamıyorum. Komşularla birlikte imza toplayarak şikayet oluşturduk.
İnsan Kaynakları ve Eğitim Müdürlüğü,Belediye çalışanı vatandaşa karşı saygısız davrandı. Komşularla birlikte imza toplayarak şikayet oluşturduk.
Kültür ve Sosyal İşler Müdürlüğü,"Merhaba, Mahallemizde hiçbir kültürel etkinlik düzenlenmiyor. Sorunun çözülmesi, yaşam kalitemizi doğrudan etkileyecek."
Kültür ve Sosyal İşler Müdürlüğü,"Merhaba, Mahallemizde hiçbir kültürel etkinlik düzenlenmiyor. Sorunun çözülmesi, yaşam kalitemizi doğrudan etkileyecek."
Park ve Bahçeler Müdürlüğü,"Belediyeye iletmek istiyorum: Ağaçların dalları elektrik tellerine temas ediyor. Uzun süredir bu sorunla karşı karşıyayız, lütfen ilgilenilsin."
Fen İşleri Müdürlüğü,"Merhaba, Sokağımızdaki asfalt tamamen dökülmüş durumda, araçlar zarar görüyor. Durumu defalarca bildirmemize rağmen henüz bir çözüm üretilmedi."
Su ve Kanalizasyon Müdürlüğü,"Sayın yetkili, Kanalizasyon tıkanıklığı nedeniyle kötü koku var. Durumu defalarca bildirmemize rağmen henüz bir çözüm üretilmedi."
Hukuk İşleri Müdürlüğü,Belediyeye iletmek istiyorum: Hukuki destek almak istiyorum ama ulaşamıyorum. Durumu defalarca bildirmemize rağmen henüz bir çözüm üretilmedi.
Çevre Koruma ve Kontrol Müdürlüğü,"Merhaba, Haşere ilaçlaması düzenli yapılmıyor. Sorunun çözülmesi, yaşam kalitemizi doğrudan etkileyecek."
Temizlik İşleri Müdürlüğü,"Merhaba, Molozlar uzun süredir kaldırılmadı, çevre görüntüsü kötüleşti. Komşularla birlikte imza toplayarak şikayet oluşturduk."
Ruhsat ve Denetim Müdürlüğü,"Sayın yetkili, Yan binadaki kafe ruhsatsız çalışıyor. Sürekli ertelenen bu sorun artık kronik hale geldi."
İmar ve Şehircilik Müdürlüğü,"Belediyeye iletmek istiyorum: İnşaatlar gece geç saatlere kadar çalışıyor, gürültü rahatsız edici. Bu sıkıntı nedeniyle günlük hayatımız oldukça zorlaştı."
Zabıta Müdürlüğü,Kamu düzenini bozan kalabalıklar için denetim istiyoruz. Gerekli kontrollerin yapılmasını rica ediyoruz.
Hukuk İşleri Müdürlüğü,"Merhaba, Yıkım kararı hakkında yasal bilgilendirme yapılmadı. Durumu defalarca bildirmemize rağmen henüz bir çözüm üretilmedi."
Bilgi İşlem Müdürlüğü,"Merhaba, Mobil uygulama üzerinden şikayet gönderilemiyor. Uzun süredir bu sorunla karşı karşıyayız, lütfen ilgilenilsin."
Çevre Koruma ve Kontrol Müdürlüğü,Hava kirliliği nedeniyle çocuklar dışarı çıkamıyor. Komşularla birlikte imza toplayarak şikayet oluşturduk.
Hukuk İşleri Müdürlüğü,"Merhaba, Hukuki destek almak istiyorum ama ulaşamıyorum. Sürekli ertelenen bu sorun artık kronik hale geldi."
Park ve Bahçeler Müdürlüğü,"Merhaba, Çimler uzun süredir biçilmiyor, park bakımsız halde. Komşularla birlikte imza toplayarak şikayet oluşturduk."
Veteriner İşleri Müdürlüğü,"Sayın yetkili, Hayvan barınağındaki şartlar çok kötü, denetim yapılmalı. Mahalle sakinleri bu durumdan ciddi şekilde şikayetçi."
Ulaşım Hizmetleri Müdürlüğü,"Belediyeye iletmek istiyorum: Yeni durak talep ediyoruz, otobüs çok uzak duruyor. Yetkili ekiplerin acilen müdahale etmesi gerekiyor."
Veteriner İşleri Müdürlüğü,Belediyeye iletmek istiyorum: Sahipsiz hayvanlar için mama-su kabı bırakılmalı. Durumu defalarca bildirmemize rağmen henüz bir çözüm üretilmedi.
